,objectid,energiomraadeid,bygningsomraadeid,har_grunnvarme,har_fjernvarme,har_adresse,bygning_id,bygningstype_navn,profet_bygningstype,profet_bygningsstandard,bruksareal_totalt,bebygd_areal,antall_etasjer,x,y,grunnvarme,solceller,luft_luft_varmepumpe,fjernvarme,oppgraderes,varme_finnes,reduksjon_termiskbehov,reduksjon_elektriskbehov,har_eksisterende_data,_termisk_energibehov,_elektrisk_energibehov,_romoppvarming_energibehov,_tappevann_energibehov,_elspesifikt_energibehov,_kompressor,_levert_fra_kilde,_spisslast,_fjernvarmeproduksjon,_solcelleproduksjon,grunnvarme_meter,grunnvarme_kostnad,_nettutveksling_energi_liste,_nettutveksling_energi,_nettutveksling_vintereffekt,_nettutveksling_sommereffekt,_termisk_energibehov_sum,_levert_fra_kilde_sum,_fjernvarmeproduksjon_sum,_elektrisk_energibehov_sum,_kompressor_sum,_spisslast_sum,_solcelleproduksjon_sum,_termisk_energibehov_vintereffekt,_levert_fra_kilde_vintereffekt,_fjernvarmeproduksjon_vintereffekt,_elektrisk_energibehov_vintereffekt,_kompressor_vintereffekt,_spisslast_vintereffekt,_solcelleproduksjon_vintereffekt,_termisk_energibehov_sommereffekt,_levert_fra_kilde_sommereffekt,_fjernvarmeproduksjon_sommereffekt,_elektrisk_energibehov_sommereffekt,_kompressor_sommereffekt,_spisslast_sommereffekt,_solcelleproduksjon_sommereffekt,scenario,scenario_navn
0,1,nyeBygg,P3,,,Gartnerhaugveien 1,0,0,Andre,TEK10/TEK17,100,0,0,10.442133,63.4513,False,False,False,False,False,False,0,0,False,[0.93065286 0.9362721  0.98133074 ... 0.89575125 0.86073803 0.8721658 ],[0.98506758 0.97158853 0.96864455 ... 1.08141337 1.05185105 1.025429  ],[0.78875192 0.8015782  0.85472444 ... 0.72270419 0.70461771 0.71507966],[0.14190094 0.1346939  0.1266063  ... 0.17304706 0.15612032 0.15708614],[0.98506758 0.97158853 0.96864455 ... 1.08141337 1.05185105 1.025429  ],0,0,0,0,0,0,0,[1.91572044 1.90786063 1.94997529 ... 1.97716462 1.91258908 1.8975948 ],20700.0,2.0,3.0,6974.307083559999,0,0,13744.907804819999,0,0,0,0.39703752999999997,0,0,1.3900422799999999,0,0,0,0.55411274,0,0,2.14077638,0,0,0,Referansesituasjon,Oppgradert bygningsmasse
1,2,nyeBygg,P3,,,Gartnerhaugveien 1,0,0,Andre,TEK10/TEK17,100,0,0,10.442183,63.451341,False,False,False,False,False,False,0,0,False,[0.93065286 0.9362721  0.98133074 ... 0.89575125 0.86073803 0.8721658 ],[0.98506758 0.97158853 0.96864455 ... 1.08141337 1.05185105 1.025429  ],[0.78875192 0.8015782  0.85472444 ... 0.72270419 0.70461771 0.71507966],[0.14190094 0.1346939  0.1266063  ... 0.17304706 0.15612032 0.15708614],[0.98506758 0.97158853 0.96864455 ... 1.08141337 1.05185105 1.025429  ],0,0,0,0,0,0,0,[1.91572044 1.90786063 1.94997529 ... 1.97716462 1.91258908 1.8975948 ],20700.0,2.0,3.0,6974.307083559999,0,0,13744.907804819999,0,0,0,0.39703752999999997,0,0,1.3900422799999999,0,0,0,0.55411274,0,0,2.14077638,0,0,0,Referansesituasjon,Oppgradert bygningsmasse
2,3,nyeBygg,P3,,,Gartnerhaugveien 1,0,0,Andre,TEK10/TEK17,100,0,0,10.442243,63.451378,False,False,False,False,False,False,0,0,False,[0.93065286 0.9362721  0.98133074 ... 0.89575125 0.86073803 0.8721658 ],[0.98506758 0.97158853 0.96864455 ... 1.08141337 1.05185105 1.025429  ],[0.78875192 0.8015782  0.85472444 ... 0.72270419 0.70461771 0.71507966],[0.14190094 0.1346939  0.1266063  ... 0.17304706 0.15612032 0.15708614],[0.98506758 0.97158853 0.96864455 ... 1.08141337 1.05185105 1.025429  ],0,0,0,0,0,0,0,[1.91572044 1.90786063 1.94997529 ... 1.97716462 1.91258908 1.8975948 ],20700.0,2.0,3.0,6974.307083559999,0,0,13744.907804819999,0,0,0,0.39703752999999997,0,0,1.3900422799999999,0,0,0,0.55411274,0,0,2.14077638,0,0,0,Referansesituasjon,Oppgradert bygningsmasse
3,4,nyeBygg,P3,,,Østmarkveien 28U,0,0,Andre,TEK10/TEK17,730,0,0,10.444495,63.451755,False,False,False,False,False,False,0,0,False,[6.79376588 6.83478633 7.1637144  ... 6.53898412 6.28338762 6.36681034],[7.19099333 7.09259627 7.07110522 ... 7.8943176  7.67851266 7.4856317 ],[5.75788902 5.85152086 6.23948841 ... 5.27574059 5.14370928 5.22008152],[1.03587686 0.98326547 0.92422599 ... 1.26324354 1.13967834 1.14672882],[7.19099333 7.09259627 7.07110522 ... 7.8943176  7.67851266 7.4856317 ],0,0,0,0,0,0,0,"[13.98475921 13.9273826  14.23481962 ... 14.43330173 13.96190028
 13.85244204]",151300.0,13.0,20.0,50912.441709987994,0,0,100337.826975186,0,0,0,2.8983739689999997,0,0,10.147308643999999,0,0,0,4.045023002,0,0,15.627667574,0,0,0,Referansesituasjon,Oppgradert bygningsmasse
4,5,nyeBygg,P3,,,Østmarkveien 26F,0,0,Andre,TEK10/TEK17,2000,0,0,10.445724,63.451774,False,False,False,False,False,False,0,0,False,[18.6130572 18.725442  19.6266148 ... 17.915025  17.2147606 17.443316 ],[19.7013516 19.4317706 19.372891  ... 21.6282674 21.037021  20.50858  ],[15.7750384 16.031564  17.0944888 ... 14.4540838 14.0923542 14.3015932],[2.8380188 2.693878  2.532126  ... 3.4609412 3.1224064 3.1417228],[19.7013516 19.4317706 19.372891  ... 21.6282674 21.037021  20.50858  ],0,0,0,0,0,0,0,[38.3144088 38.1572126 38.9995058 ... 39.5432924 38.2517816 37.951896 ],414400.0,36.0,54.0,139486.1416712,0,0,274898.1560964,0,0,0,7.9407506,0,0,27.8008456,0,0,0,11.082254800000001,0,0,42.8155276,0,0,0,Referansesituasjon,Oppgradert bygningsmasse
5,6,nyeBygg,P3,,,Østmarkveien 26,0,0,Andre,TEK10/TEK17,2000,0,0,10.446209,63.451881,False,False,False,False,False,False,0,0,False,[18.6130572 18.725442  19.6266148 ... 17.915025  17.2147606 17.443316 ],[19.7013516 19.4317706 19.372891  ... 21.6282674 21.037021  20.50858  ],[15.7750384 16.031564  17.0944888 ... 14.4540838 14.0923542 14.3015932],[2.8380188 2.693878  2.532126  ... 3.4609412 3.1224064 3.1417228],[19.7013516 19.4317706 19.372891  ... 21.6282674 21.037021  20.50858  ],0,0,0,0,0,0,0,[38.3144088 38.1572126 38.9995058 ... 39.5432924 38.2517816 37.951896 ],414400.0,36.0,54.0,139486.1416712,0,0,274898.1560964,0,0,0,7.9407506,0,0,27.8008456,0,0,0,11.082254800000001,0,0,42.8155276,0,0,0,Referansesituasjon,Oppgradert bygningsmasse
6,7,nyeBygg,P3,,,Østmarkveien 26C,0,0,Andre,TEK10/TEK17,2000,0,0,10.447303,63.451959,False,False,False,False,False,False,0,0,False,[18.6130572 18.725442  19.6266148 ... 17.915025  17.2147606 17.443316 ],[19.7013516 19.4317706 19.372891  ... 21.6282674 21.037021  20.50858  ],[15.7750384 16.031564  17.0944888 ... 14.4540838 14.0923542 14.3015932],[2.8380188 2.693878  2.532126  ... 3.4609412 3.1224064 3.1417228],[19.7013516 19.4317706 19.372891  ... 21.6282674 21.037021  20.50858  ],0,0,0,0,0,0,0,[38.3144088 38.1572126 38.9995058 ... 39.5432924 38.2517816 37.951896 ],414400.0,36.0,54.0,139486.1416712,0,0,274898.1560964,0,0,0,7.9407506,0,0,27.8008456,0,0,0,11.082254800000001,0,0,42.8155276,0,0,0,Referansesituasjon,Oppgradert bygningsmasse
7,8,nyeBygg,P3,,,Østmarkveien 26B,0,0,Andre,TEK10/TEK17,2000,0,0,10.447843,63.451992,False,False,False,False,False,False,0,0,False,[18.6130572 18.725442  19.6266148 ... 17.915025  17.2147606 17.443316 ],[19.7013516 19.4317706 19.372891  ... 21.6282674 21.037021  20.50858  ],[15.7750384 16.031564  17.0944888 ... 14.4540838 14.0923542 14.3015932],[2.8380188 2.693878  2.532126  ... 3.4609412 3.1224064 3.1417228],[19.7013516 19.4317706 19.372891  ... 21.6282674 21.037021  20.50858  ],0,0,0,0,0,0,0,[38.3144088 38.1572126 38.9995058 ... 39.5432924 38.2517816 37.951896 ],414400.0,36.0,54.0,139486.1416712,0,0,274898.1560964,0,0,0,7.9407506,0,0,27.8008456,0,0,0,11.082254800000001,0,0,42.8155276,0,0,0,Referansesituasjon,Oppgradert bygningsmasse
8,9,nyeBygg,P3,,,Østmarkveien 26,0,0,Andre,TEK10/TEK17,2000,0,0,10.448262,63.451855,False,False,False,False,False,False,0,0,False,[18.6130572 18.725442  19.6266148 ... 17.915025  17.2147606 17.443316 ],[19.7013516 19.4317706 19.372891  ... 21.6282674 21.037021  20.50858  ],[15.7750384 16.031564  17.0944888 ... 14.4540838 14.0923542 14.3015932],[2.8380188 2.693878  2.532126  ... 3.4609412 3.1224064 3.1417228],[19.7013516 19.4317706 19.372891  ... 21.6282674 21.037021  20.50858  ],0,0,0,0,0,0,0,[38.3144088 38.1572126 38.9995058 ... 39.5432924 38.2517816 37.951896 ],414400.0,36.0,54.0,139486.1416712,0,0,274898.1560964,0,0,0,7.9407506,0,0,27.8008456,0,0,0,11.082254800000001,0,0,42.8155276,0,0,0,Referansesituasjon,Oppgradert bygningsmasse
9,10,nyeBygg,P3,,,Østmarkveien 28C,0,0,Andre,TEK10/TEK17,2000,0,0,10.448161,63.452412,False,False,False,False,False,False,0,0,False,[18.6130572 18.725442  19.6266148 ... 17.915025  17.2147606 17.443316 ],[19.7013516 19.4317706 19.372891  ... 21.6282674 21.037021  20.50858  ],[15.7750384 16.031564  17.0944888 ... 14.4540838 14.0923542 14.3015932],[2.8380188 2.693878  2.532126  ... 3.4609412 3.1224064 3.1417228],[19.7013516 19.4317706 19.372891  ... 21.6282674 21.037021  20.50858  ],0,0,0,0,0,0,0,[38.3144088 38.1572126 38.9995058 ... 39.5432924 38.2517816 37.951896 ],414400.0,36.0,54.0,139486.1416712,0,0,274898.1560964,0,0,0,7.9407506,0,0,27.8008456,0,0,0,11.082254800000001,0,0,42.8155276,0,0,0,Referansesituasjon,Oppgradert bygningsmasse
